"t [pixel] #1","x [pixel] #1","t [pixel] #2","x [pixel] #2","t [pixel] #3","x [pixel] #3","t [pixel] #4","x [pixel] #4","t [pixel] #5","x [pixel] #5","t [pixel] #6","x [pixel] #6","t [pixel] #7","x [pixel] #7","t [pixel] #8","x [pixel] #8","t [pixel] #9","x [pixel] #9","t [pixel] #10","x [pixel] #10","t [pixel] #11","x [pixel] #11","t [pixel] #12","x [pixel] #12","t [pixel] #13","x [pixel] #13","t [pixel] #14","x [pixel] #14","t [pixel] #15","x [pixel] #15","t [pixel] #16","x [pixel] #16","t [pixel] #17","x [pixel] #17","t [pixel] #18","x [pixel] #18","t [pixel] #19","x [pixel] #19","t [pixel] #20","x [pixel] #20","t [pixel] #21","x [pixel] #21","t [pixel] #22","x [pixel] #22","t [pixel] #23","x [pixel] #23","t [pixel] #24","x [pixel] #24","t [pixel] #25","x [pixel] #25","t [pixel] #26","x [pixel] #26","t [pixel] #27","x [pixel] #27","t [pixel] #28","x [pixel] #28","t [pixel] #29","x [pixel] #29","t [pixel] #30","x [pixel] #30","t [pixel] #31","x [pixel] #31","t [pixel] #32","x [pixel] #32","t [pixel] #33","x [pixel] #33","t [pixel] #34","x [pixel] #34","t [pixel] #35","x [pixel] #35"
2,214,38,5,40,121,44,53,128,10,147,119,151,194,170,5,175,219,191,76,223,173,233,196,118,216,137,75,141,145,198,60,205,139,215,117,268,16,1,129,1,138,163,169,209,175,224,241,248,216,232,139,293,156,131,253,216,179,260,210,146,250,274,223,177,250,286,216,174,258
3,213,39,6,41,122,45,51,129,15,148,122,152,194,171,6,176,216,192,73,224,173,234,196,119,216,138,71,142,150,199,59,206,142,216,117,269,19,2,125,2,139,164,168,210,172,225,239,249,214,233,140,294,157,132,253,217,181,261,209,147,250,275,223,180,259,287,217,175,260
4,213,40,8,42,124,46,49,130,24,149,128,153,195,172,8,177,214,193,68,225,172,235,196,120,216,139,64,143,158,200,58,207,146,217,116,270,24,3,118,3,140,165,165,211,167,226,236,250,214,234,143,295,158,133,253,218,184,262,210,148,249,276,223,"","",288,218,176,262
5,212,41,10,43,124,47,49,131,36,150,132,154,196,173,10,178,214,194,64,226,172,236,196,121,216,140,56,144,161,201,57,208,149,218,116,271,31,4,114,4,141,166,163,212,165,227,234,251,213,235,149,296,158,134,253,219,186,263,213,149,249,277,222,"","",289,220,177,264
6,211,42,10,44,124,48,49,132,47,151,134,155,198,174,12,179,213,195,62,227,171,237,196,122,215,141,48,145,162,202,57,209,151,"","",272,36,5,111,5,142,167,162,"","",228,233,252,212,236,156,297,157,135,253,220,188,264,215,150,250,278,222,"","",290,222,178,266
7,210,43,9,45,124,49,49,133,58,"","",156,200,175,15,180,212,196,61,228,170,238,196,123,215,142,41,146,163,203,56,210,154,"","",273,42,6,108,6,143,168,162,"","",229,233,253,211,237,163,298,156,136,254,221,190,265,215,151,251,279,222,"","",291,223,179,268
8,210,44,9,46,124,50,50,134,68,"","",157,201,176,17,181,210,197,60,229,168,"","",124,215,143,35,147,163,204,55,211,159,"","",274,48,7,106,7,144,169,163,"","",230,233,254,210,238,171,299,154,137,255,222,192,266,219,152,252,280,222,"","",292,223,180,269
9,210,45,10,47,125,51,50,135,75,"","",158,201,177,18,182,210,198,61,230,167,"","",125,216,144,30,148,164,205,55,212,162,"","",275,54,8,102,8,145,170,164,"","",231,232,259,211,239,178,300,152,138,254,223,196,267,222,153,253,281,220,"","",293,222,181,269
10,210,46,11,48,125,52,50,136,88,"","",159,202,178,21,183,211,199,62,231,167,"","",126,217,145,26,149,165,206,55,213,165,"","",276,61,9,99,9,146,171,166,"","",232,231,260,215,240,186,"","",139,254,224,199,268,209,154,253,282,218,"","",294,221,182,270
11,209,47,12,49,126,53,51,137,99,"","",160,204,179,28,184,211,200,65,232,167,"","",127,218,146,24,150,166,207,56,214,166,"","",277,68,10,96,10,147,172,168,"","",233,229,"","",241,192,"","",140,253,225,202,269,209,155,253,283,217,"","",295,220,183,271
12,209,48,12,50,126,54,52,138,110,"","",161,206,180,33,185,210,201,70,233,166,"","",128,218,147,24,151,166,208,57,215,165,"","",278,76,11,95,11,148,173,168,"","",234,226,"","",242,198,"","",141,252,226,204,270,210,156,253,284,216,"","",296,219,184,270
13,209,49,12,51,126,55,54,"","","","",162,209,181,38,186,209,202,74,234,165,"","",129,218,148,24,152,167,209,58,216,164,"","",279,82,12,95,12,148,174,168,"","","","","","",243,200,"","",142,250,227,206,271,210,157,253,285,214,"","","","",185,269
14,209,50,12,52,125,56,55,"","","","",163,212,182,44,187,209,203,78,235,164,"","",130,219,149,23,153,168,210,58,217,163,"","",280,88,13,94,13,149,175,168,"","","","","","",244,202,"","",143,249,228,207,272,211,158,253,286,211,"","","","",186,269
15,210,51,12,53,124,57,56,"","","","",164,214,183,50,188,210,204,83,236,164,"","",131,220,150,22,154,168,211,58,218,162,"","",281,93,14,93,14,149,176,169,"","","","","","",245,202,"","",144,250,229,208,273,211,159,253,287,210,"","","","",187,268
16,210,52,12,54,124,58,58,"","","","",165,218,184,55,189,211,205,88,237,163,"","",132,221,151,21,155,168,212,58,219,160,"","",282,99,15,93,15,149,177,169,"","","","","","",246,203,"","",145,253,230,209,274,210,160,253,288,209,"","","","",188,268
17,210,53,12,55,124,59,59,"","","","",166,224,185,60,190,212,206,92,238,163,"","",133,221,152,21,156,167,213,59,220,153,"","",283,106,16,93,16,150,178,169,"","","","","","",247,204,"","",146,264,231,210,"","",161,253,289,210,"","","","",189,268
18,211,54,12,56,124,60,60,"","","","",167,229,186,66,191,212,207,97,239,163,"","",134,221,153,20,157,166,214,58,221,146,"","",284,112,17,93,17,151,179,169,"","","","","","",248,205,"","","","",232,211,"","",162,252,290,210,"","","","",190,267
